"","ID","country","secano.area","total.area","secano.pct","mirca.start","mirca.end","N.app.0d","N.app.40d","Coincidencias","New_FPU","NFPU_INT","New_Basin","Basin_Name","Region","elev","variedad.1","SecondAppDay","NOM_MUNICI","NOMBRE_DPT"
"11","2524","Colombia",433.7,433.7,100,76,166,57.6453018188477,NA,2524,"AMA_COL",5,"AMA","Amazon","AND",331,"IB0056_FM6",37,"CALAMAR","GUAVIARE"
"12","2410","Colombia",188.1,188.1,100,76,166,57.6453018188477,NA,2410,"ORI_COL",199,"ORI","Orinoco","AND",298,"IB0056_FM6",35,"SAN JOSÉ DEL GUAVIARE","GUAVIARE"
"13","2463","Colombia",2908.6,2908.6,100,76,166,57.6453018188477,NA,2463,"ORI_COL",199,"ORI","Orinoco","AND",359,"IB0056_FM6",36,"LA MACARENA","META"
"14","2464","Colombia",772.7,772.7,100,76,166,57.6453018188477,NA,2464,"ORI_COL",199,"ORI","Orinoco","AND",353,"IB0056_FM6",37,"LA MACARENA","META"
"15","2406","Colombia",750.4,750.4,100,76,166,57.6453018188477,NA,2406,"ORI_COL",199,"ORI","Orinoco","AND",592,"IB0056_FM6",36,"URIBE","META"
"16","2352","Colombia",1861.4,1861.4,100,76,166,57.6453018188477,NA,2352,"ORI_COL",199,"ORI","Orinoco","AND",1066,"IB0056_FM6",40,"MESETAS","META"
"17","2353","Colombia",3330,3330,100,76,166,57.6453018188477,NA,2353,"ORI_COL",199,"ORI","Orinoco","AND",573,"IB0056_FM6",37,"SAN JUAN DE ARAMA","META"
"18","2300","Colombia",2208.4,2208.4,100,76,166,57.6453018188477,NA,2300,"ORI_COL",199,"ORI","Orinoco","AND",654,"IB0056_FM6",38,"SAN MARTÍN","META"
"19","2299","Colombia",214.6,214.6,100,76,166,57.6453018188477,NA,2299,"ORI_COL",199,"ORI","Orinoco","AND",2832,"IB0006_INRA",74,"CUBARRAL","META"
"20","2247","Colombia",1545.4,1545.4,100,76,166,57.6453018188477,NA,2247,"ORI_COL",199,"ORI","Orinoco","AND",1664,"IB0056_FM6",49,"VILLAVICENCIO","META"
"21","2248","Colombia",5051.2,5051.2,100,76,166,57.6453018188477,NA,2248,"ORI_COL",199,"ORI","Orinoco","AND",320,"IB0056_FM6",35,"CUMARAL","META"
"22","2249","Colombia",2217.3,2217.3,100,76,166,57.6453018188477,NA,2249,"ORI_COL",199,"ORI","Orinoco","AND",205,"IB0056_FM6",35,"PUERTO LÓPEZ","META"
"23","2301","Colombia",2094.3,2094.3,100,76,166,57.6453018188477,NA,2301,"ORI_COL",199,"ORI","Orinoco","AND",264,"IB0056_FM6",35,"SAN CARLOS DE GUAROA","META"
"24","2354","Colombia",1155.5,1155.5,100,76,166,57.6453018188477,NA,2354,"ORI_COL",199,"ORI","Orinoco","AND",280,"IB0056_FM6",35,"PUERTO LLERAS","META"
"25","2408","Colombia",1195.4,1195.4,100,76,166,57.6453018188477,NA,2408,"ORI_COL",199,"ORI","Orinoco","AND",298,"IB0056_FM6",35,"PUERTO RICO","META"
"26","2409","Colombia",1233.3,1233.3,100,76,166,57.6453018188477,NA,2409,"ORI_COL",199,"ORI","Orinoco","AND",292,"IB0056_FM6",35,"PUERTO CONCORDIA","META"
"27","2407","Colombia",837.3,837.3,100,76,166,57.6453018188477,NA,2407,"ORI_COL",199,"ORI","Orinoco","AND",884,"IB0056_FM6",39,"VISTAHERMOSA","META"
"28","2197","Colombia",363.9,363.9,100,76,166,57.6453018188477,NA,2197,"ORI_COL",199,"ORI","Orinoco","AND",348,"IB0056_FM6",35,"MONTERREY","CASANARE"
"29","2147","Colombia",964.6,964.6,100,76,166,57.6453018188477,NA,2147,"ORI_COL",199,"ORI","Orinoco","AND",1510,"IB0056_FM6",44,"RECETOR","CASANARE"
"30","2148","Colombia",581,581,100,76,166,57.6453018188477,NA,2148,"ORI_COL",199,"ORI","Orinoco","AND",287,"IB0056_FM6",35,"YOPAL","CASANARE"
"31","2019","Colombia",27.1,27.1,100,76,166,57.6453018188477,NA,2019,"ORI_COL",199,"ORI","Orinoco","AND",2551,"IB0006_INRA",63,"CUBARÁ","BOYACÁ"
